epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4573.95,0.46806,0.14526,0.00133,0.99562,0.99351,0.99489,0.93439,0.43551,0.13703,0.0015,0.000566027,0.000566027,0.000566027
63,4645.39,0.46694,0.14795,0.0013,0.99531,0.99128,0.99491,0.93407,0.43151,0.14155,0.00149,0.00055188,0.00055188,0.00055188
64,4716.77,0.4769,0.14862,0.00136,0.99454,0.99291,0.99491,0.93435,0.43424,0.13709,0.0015,0.000537733,0.000537733,0.000537733
65,4788.16,0.46395,0.14527,0.00131,0.99567,0.99343,0.99485,0.93474,0.43226,0.13763,0.00149,0.000523586,0.000523586,0.000523586
66,4859.96,0.47147,0.14754,0.00134,0.99603,0.99279,0.99492,0.93433,0.43858,0.13778,0.00151,0.000509438,0.000509438,0.000509438
67,4929.56,0.46702,0.14666,0.00133,0.99681,0.99057,0.99492,0.93546,0.43104,0.13716,0.00149,0.000495291,0.000495291,0.000495291
68,4999.26,0.45825,0.1437,0.00131,0.99412,0.99404,0.99492,0.93624,0.4285,0.13461,0.00147,0.000481144,0.000481144,0.000481144
69,5076.49,0.45958,0.14316,0.00131,0.99349,0.99178,0.99488,0.93467,0.43144,0.14068,0.00149,0.000466997,0.000466997,0.000466997
70,5154.97,0.46374,0.14451,0.0013,0.99611,0.99294,0.99491,0.9364,0.42789,0.13735,0.00147,0.00045285,0.00045285,0.00045285
71,5230.99,0.45487,0.1426,0.00129,0.99615,0.99415,0.9949,0.93503,0.42902,0.13641,0.00148,0.000438703,0.000438703,0.000438703
72,5308.45,0.45898,0.14388,0.00131,0.99544,0.99238,0.99491,0.9347,0.4286,0.13561,0.00148,0.000424556,0.000424556,0.000424556
73,5385.52,0.45465,0.13965,0.00128,0.99498,0.9927,0.99487,0.93772,0.42652,0.13881,0.00147,0.000410409,0.000410409,0.000410409
74,5464.37,0.44951,0.13999,0.00127,0.99539,0.99351,0.99491,0.93514,0.43148,0.13701,0.00148,0.000396262,0.000396262,0.000396262
75,5542.72,0.45505,0.14097,0.00128,0.996,0.99211,0.99494,0.93856,0.42147,0.13494,0.00145,0.000382115,0.000382115,0.000382115
76,5617.72,0.45216,0.14019,0.00127,0.99116,0.99327,0.99488,0.93809,0.42365,0.1363,0.00146,0.000367967,0.000367967,0.000367967
77,5696.92,0.45087,0.14056,0.00127,0.99348,0.99197,0.99487,0.93893,0.42222,0.13723,0.00145,0.00035382,0.00035382,0.00035382
78,5771.16,0.44552,0.13776,0.00125,0.99193,0.9929,0.99486,0.93841,0.42302,0.13829,0.00146,0.000339673,0.000339673,0.000339673
79,5844.98,0.44951,0.13992,0.00127,0.99257,0.99116,0.99482,0.93779,0.42434,0.14193,0.00146,0.000325526,0.000325526,0.000325526
80,5924.2,0.44677,0.14094,0.00126,0.99556,0.99368,0.99492,0.93632,0.42504,0.13486,0.00146,0.000311379,0.000311379,0.000311379
81,5999.04,0.43923,0.13604,0.00125,0.9966,0.99299,0.99488,0.93643,0.42721,0.13777,0.00148,0.000297232,0.000297232,0.000297232
82,6072.47,0.44555,0.13675,0.00126,0.99569,0.99333,0.99488,0.93815,0.42609,0.1378,0.00146,0.000283085,0.000283085,0.000283085
83,6151.37,0.44537,0.1372,0.00124,0.99534,0.99293,0.99487,0.93932,0.42204,0.13677,0.00145,0.000268938,0.000268938,0.000268938
84,6228.14,0.44272,0.13685,0.00124,0.9949,0.99338,0.99489,0.93843,0.42363,0.13587,0.00146,0.000254791,0.000254791,0.000254791
85,6300.91,0.44325,0.1365,0.00125,0.99351,0.98579,0.99484,0.93822,0.42424,0.14518,0.00146,0.000240644,0.000240644,0.000240644
86,6379.78,0.4382,0.13568,0.00124,0.99323,0.99296,0.99488,0.93738,0.42452,0.13808,0.00146,0.000226497,0.000226497,0.000226497
87,6456.53,0.43844,0.13518,0.00123,0.99448,0.99047,0.99487,0.93863,0.42345,0.13793,0.00146,0.000212349,0.000212349,0.000212349
88,6535.23,0.43401,0.13363,0.0012,0.99207,0.9926,0.99485,0.93997,0.42018,0.13925,0.00145,0.000198202,0.000198202,0.000198202
89,6613.29,0.43208,0.13229,0.00122,0.99304,0.99147,0.99487,0.94014,0.41979,0.13934,0.00144,0.000184055,0.000184055,0.000184055
90,6689.15,0.43125,0.13342,0.00121,0.9937,0.99227,0.99488,0.9396,0.41943,0.13667,0.00144,0.000169908,0.000169908,0.000169908
91,6766.26,0.40807,0.12237,0.00142,0.99356,0.99246,0.99477,0.93927,0.42222,0.1371,0.00145,0.000155761,0.000155761,0.000155761
92,6832.21,0.41155,0.12299,0.00142,0.99518,0.9927,0.99486,0.93992,0.42185,0.13626,0.00145,0.000141614,0.000141614,0.000141614
93,6900.41,0.40644,0.12213,0.00141,0.99264,0.99243,0.99483,0.93901,0.42154,0.13911,0.00145,0.000127467,0.000127467,0.000127467
94,6972.7,0.40308,0.1203,0.0014,0.99409,0.99346,0.99479,0.93988,0.41975,0.13662,0.00144,0.00011332,0.00011332,0.00011332
95,7043.37,0.40024,0.12008,0.00139,0.99269,0.99249,0.99481,0.93954,0.42119,0.13963,0.00145,9.91726e-05,9.91726e-05,9.91726e-05
96,7117.44,0.40158,0.1202,0.00139,0.99334,0.99233,0.99486,0.93991,0.42007,0.13825,0.00145,8.50255e-05,8.50255e-05,8.50255e-05
97,7189.25,0.39786,0.11896,0.00138,0.99254,0.99252,0.99482,0.93929,0.42014,0.13927,0.00144,7.08784e-05,7.08784e-05,7.08784e-05
98,7253.68,0.3965,0.11876,0.00138,0.99319,0.99256,0.99484,0.93999,0.42012,0.1396,0.00144,5.67313e-05,5.67313e-05,5.67313e-05
99,7321.39,0.3988,0.11904,0.00137,0.99359,0.99271,0.99487,0.93975,0.42008,0.13938,0.00144,4.25842e-05,4.25842e-05,4.25842e-05
100,7394.93,0.39612,0.11815,0.00137,0.99343,0.99257,0.99484,0.93995,0.41885,0.13936,0.00144,2.84371e-05,2.84371e-05,2.84371e-05
